video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
zOOmEDwPJX0,17.14.11,Jannat (Full Song) Aatish - Latest Punjabi Song 2017 - New Punjabi Songs 2017 - WHM,White Hill Music,10,2017-11-11T12:02:09.000Z,2348107,32834,710,1743,FALSE,FALSE,FALSE
Prb_osSVE0M,17.14.11,Renu Desai Gives Rating For Pawan kalyan As Husband | Open Heart With RK | ABN Telugu,ABN Telugu,25,2017-11-13T09:51:59.000Z,156085,716,53,0,TRUE,FALSE,FALSE
KHxdrECEsD0,17.14.11,Peehu Srivastav Performs On Daiya Yeh Main kahan Aa Phasi | The Voice India Kids | Episode 1,The Voice India Kids,24,2017-11-11T19:19:13.000Z,472413,2611,250,174,FALSE,FALSE,FALSE
so0ccfs-psI,17.14.11,Rowi Na | Nadha Virender | Official Music Video | Latest Punjabi Songs 2017 | VS Records,VS RECORDS,10,2017-11-12T10:29:59.000Z,836006,24460,180,594,FALSE,FALSE,FALSE
7gShaSuK_PY,17.14.11,ஜெயலலிதாவின் உயில் சிக்கியது  அப்பல்லோ சி.டி.யை தேடிய  அதிகாரிகள் - சோதனையின் பின்னணி,Next Gen,22,2017-11-13T06:52:47.000Z,89531,238,59,18,FALSE,FALSE,FALSE
ep3SLMuRbvg,17.14.11,TYPES OF STUDENTS- | Elvish Yadav |,Elvish yadav,23,2017-11-13T11:26:02.000Z,344545,25717,417,2870,FALSE,FALSE,FALSE
ePO5M5DE01I,17.14.11,Tiger Zinda Hai | Official Trailer | Salman Khan | Katrina Kaif,YRF,1,2017-11-07T06:01:50.000Z,35885754,829362,61195,101117,FALSE,FALSE,FALSE
CLl1RbxDRAs,17.14.11,Meri Setting Karwado Prank - Bakchodi ki Hadd - TST comment Trolling,TroubleSeekerTeam,23,2017-11-12T13:16:38.000Z,209599,14070,448,1105,FALSE,FALSE,FALSE
1ZAPwfrtAFY,17.14.11,The Trump Presidency: Last Week Tonight with John Oliver (HBO),LastWeekTonight,24,2017-11-13T07:30:00.000Z,2418783,97187,6146,12703,FALSE,FALSE,FALSE
ZIHhuwvT7R0,17.14.11,"Asli Fighter (Okka Ammayi Thappa) 2017 NEW Full Hindi Dubbed Movie | Sundeep Kishan, Nithya Menen",RKD Digital,24,2017-11-11T19:24:38.000Z,2294242,14960,1361,913,FALSE,FALSE,FALSE
